Key,Context,en-US,pt-BR
dashboard.description,dashboard,Performance analytics dashboard for all active assessment cycles.,Painel de análise de desempenho para todos os ciclos de avaliação ativos.
dashboard.emptyState.noCycles.button,dashboard.emptyState.noCycles,Create Performance Cycle,Criar Ciclo de Performance
dashboard.emptyState.noCycles.description,dashboard.emptyState.noCycles,There are no active performance cycles found for {{companyName}}. Create a performance cycle to start tracking team analytics.,Não há ciclos de performance ativos encontrados para {{companyName}}. Crie um ciclo de performance para começar a rastrear análises de equipe.
dashboard.emptyState.noCycles.title,dashboard.emptyState.noCycles,No Active Performance Cycles,Nenhum Ciclo de Performance Ativo
dashboard.emptyState.noMatrices.button,dashboard.emptyState.noMatrices,Create Assessment Matrix,Criar Matriz de Avaliação
dashboard.emptyState.noMatrices.description,dashboard.emptyState.noMatrices,"You have {{count}} active performance cycle{{count, plural, one {} other {s}}}, but no assessment matrices have been created yet. Create assessment matrices to start tracking team performance.","Você tem {{count}} ciclo{{count, plural, one {} other {s}}} de performance ativo{{count, plural, one {} other {s}}}, mas nenhuma matriz de avaliação foi criada ainda. Crie matrizes de avaliação para começar a rastrear o desempenho da equipe."
dashboard.emptyState.noMatrices.title,dashboard.emptyState.noMatrices,No Assessment Matrices Found,Nenhuma Matriz de Avaliação Encontrada
dashboard.errors.loadCyclesFailed,dashboard.errors,Failed to load performance cycles. Please try again.,"Falha ao carregar ciclos de performance. Por favor, tente novamente."
dashboard.errors.loadMatricesFailed,dashboard.errors,Failed to load assessment matrices. Please try again.,"Falha ao carregar matrizes de avaliação. Por favor, tente novamente."
dashboard.loading.assessmentMatrices,dashboard.loading,Loading Assessment Matrices...,Carregando Matrizes de Avaliação...
dashboard.loading.completionData,dashboard.loading,Loading completion data...,Carregando dados de conclusão...
dashboard.loading.performanceCycles,dashboard.loading,Loading Performance Cycles...,Carregando Ciclos de Performance...
dashboard.matrix.count,dashboard.matrix,"{{count}} Assessment Matri{{count, plural, one {x} other {ces}}}","{{count}} Matriz{{count, plural, one {} other {es}}} de Avaliação"
dashboard.messages.assessmentNotStarted,dashboard.messages,Assessment may not have started yet,A avaliação pode não ter começado ainda
dashboard.messages.noCompletionData,dashboard.messages,No completion data available,Nenhum dado de conclusão disponível
dashboard.overview.assessmentProgress,dashboard.overview,Assessment Progress,Progresso da Avaliação
dashboard.overview.breadcrumb,dashboard.overview,Team Comparison,Comparação de Equipes
dashboard.overview.buttons.viewDetails,dashboard.overview.buttons,View Details,Ver Detalhes
dashboard.overview.defaultMatrixName,dashboard.overview,Assessment Matrix,Matriz de Avaliação
dashboard.overview.errors.loadFailed,dashboard.overview.errors,Failed to load team comparison data. Please try again.,"Falha ao carregar dados de comparação de equipes. Por favor, tente novamente."
dashboard.overview.loading.subtitle,dashboard.overview.loading,Preparing radar graphs for all teams...,Preparando gráficos radar para todas as equipes...
dashboard.overview.loading.title,dashboard.overview.loading,Loading Team Comparison,Carregando Comparação de Equipes
dashboard.overview.noData.description,dashboard.overview.noData,No data is available for this assessment matrix.,Nenhum dado está disponível para esta matriz de avaliação.
dashboard.overview.noData.title,dashboard.overview.noData,No Data Available,Nenhum Dado Disponível
dashboard.overview.noPillarAnalysis,dashboard.overview,No pillar analysis available,Nenhuma análise de pilares disponível
dashboard.overview.noPillarData,dashboard.overview,No pillar data structure found,Nenhuma estrutura de dados de pilar encontrada
dashboard.overview.noTeams.description,dashboard.overview.noTeams,No teams have been assigned to this assessment matrix yet.,Nenhuma equipe foi atribuída a esta matriz de avaliação ainda.
dashboard.overview.noTeams.title,dashboard.overview.noTeams,No Teams Found,Nenhuma Equipe Encontrada
dashboard.overview.performanceCycle,dashboard.overview,Performance Cycle,Ciclo de Performance
dashboard.overview.pillarsFound,dashboard.overview,"Found {{count}} pillar{{count, plural, one {} other {s}}}","Encontrado {{count}} pilar{{count, plural, one {} other {es}}}"
dashboard.overview.stats.completion,dashboard.overview.stats,Completion,Conclusão
dashboard.overview.stats.employees,dashboard.overview.stats,Employees,Funcionários
dashboard.overview.stats.score,dashboard.overview.stats,Score,Pontuação
dashboard.overview.teamComparisonTitle,dashboard.overview,Team Comparison Overview,Visão Geral da Comparação de Equipes
dashboard.overview.title,dashboard.overview,Team Performance Overview,Visão Geral de Desempenho da Equipe
dashboard.progress.completionProgress,dashboard.progress,Completion Progress,Progresso de Conclusão
dashboard.progress.employeesCompleted,dashboard.progress,{{completed}} of {{total}} employees completed,{{completed}} de {{total}} funcionários concluíram
dashboard.status.active,dashboard.status,Active,Ativo
dashboard.status.completed,dashboard.status,Completed,Concluído
dashboard.status.goodProgress,dashboard.status,Good Progress,Bom Progresso
dashboard.status.inactive,dashboard.status,Inactive,Inativo
dashboard.status.needsAttention,dashboard.status,Needs Attention,Precisa de Atenção
dashboard.status.notStarted,dashboard.status,Not Started,Não Iniciado
dashboard.status.warning,dashboard.status,Warning,Aviso
dashboard.summary.notAvailable,dashboard.summary,N/A,N/A
dashboard.summary.questions,dashboard.summary,Questions,Perguntas
dashboard.summary.teams,dashboard.summary,Teams,Equipes
dashboard.team.errors.loadFailed,dashboard.team.errors,Failed to load team analytics. Please try again.,"Falha ao carregar análises da equipe. Por favor, tente novamente."
dashboard.team.loading.subtitle,dashboard.team.loading,Preparing detailed performance analysis...,Preparando análise detalhada de desempenho...
dashboard.team.loading.title,dashboard.team.loading,Loading Team Analytics,Carregando Análises da Equipe
dashboard.team.noData.description,dashboard.team.noData,No analytics data is available for this team and assessment matrix combination.,Nenhum dado de análise está disponível para esta combinação de equipe e matriz de avaliação.
dashboard.team.noData.title,dashboard.team.noData,No Data Available,Nenhum Dado Disponível
dashboard.team.noPillarData.description,dashboard.team.noPillarData,This team hasn't completed enough assessments to generate pillar analysis.,Esta equipe não completou avaliações suficientes para gerar análise de pilares.
dashboard.team.noPillarData.title,dashboard.team.noPillarData,No Pillar Data Available,Nenhum Dado de Pilar Disponível
dashboard.team.pillar.actual,dashboard.team.pillar,Actual,Real
dashboard.team.pillar.categories,dashboard.team.pillar,Categories,Categorias
dashboard.team.pillar.gapFromPotential,dashboard.team.pillar,Gap from potential: {{gap}}%,Diferença do potencial: {{gap}}%
dashboard.team.pillar.noCategoryData,dashboard.team.pillar,No category data available,Nenhum dado de categoria disponível
dashboard.team.pillar.potential,dashboard.team.pillar,Potential,Potencial
dashboard.team.stats.completion,dashboard.team.stats,Completion,Conclusão
dashboard.team.stats.overallScore,dashboard.team.stats,Overall Score,Pontuação Geral
dashboard.team.stats.pillars,dashboard.team.stats,Pillars,Pilares
dashboard.team.stats.teamMembers,dashboard.team.stats,Team Members,Membros da Equipe
dashboard.team.teamComparison,dashboard.team,Team Comparison,Comparação de Equipes
dashboard.team.teamDefault,dashboard.team,Team {{teamId}},Equipe {{teamId}}
dashboard.team.title,dashboard.team,Team Performance Detail,Detalhes de Desempenho da Equipe
dashboard.team.wordCloud.generatedFrom,dashboard.team.wordCloud,"Generated from {{count}} feedback response{{count, plural, one {} other {s}}}","Gerado a partir de {{count}} resposta{{count, plural, one {} other {s}}} de feedback"
dashboard.team.wordCloud.noData.description,dashboard.team.wordCloud.noData,No text feedback has been collected for this team yet.,Nenhum feedback textual foi coletado para esta equipe ainda.
dashboard.team.wordCloud.noData.title,dashboard.team.wordCloud.noData,No Feedback Data Available,Nenhum Dado de Feedback Disponível
dashboard.team.wordCloud.title,dashboard.team.wordCloud,Team Feedback Word Cloud,Nuvem de Palavras do Feedback da Equipe
dashboard.title,dashboard,Dashboard,Dashboard
department.columns.company,department.columns,Company,Empresa
department.columns.description,department.columns,Description,Descrição
department.columns.name,department.columns,Department Name,Nome do Departamento
department.errors.generic,department.errors,An error occurred. Please try again.,"Ocorreu um erro. Por favor, tente novamente."
department.errors.loadCompaniesFailed,department.errors,Failed to load companies. Please try again.,"Falha ao carregar empresas. Por favor, tente novamente."
department.form.buttons.create,department.form.buttons,Create Department,Criar Departamento
department.form.buttons.creating,department.form.buttons,Creating...,Criando...
department.form.buttons.update,department.form.buttons,Update Department,Atualizar Departamento
department.form.buttons.updating,department.form.buttons,Updating...,Atualizando...
department.form.fields.description,department.form.fields,Description,Descrição
department.form.fields.name,department.form.fields,Name,Nome
department.form.validation.descriptionMinLength,department.form.validation,Description must be at least 3 characters,Descrição deve ter pelo menos 3 caracteres
department.form.validation.descriptionRequired,department.form.validation,Department description is required,Descrição do departamento é obrigatória
department.form.validation.nameMinLength,department.form.validation,Name must be at least 3 characters,Nome deve ter pelo menos 3 caracteres
department.form.validation.nameRequired,department.form.validation,Department name is required,Nome do departamento é obrigatório
department.plural,department,Departments,Departamentos
department.singular,department,Department,Departamento
department.title,department,Department Management,Gerenciamento de Departamentos
employeeAssessment.columns.answeredQuestions,employeeAssessment.columns,Answered Questions,Perguntas Respondidas
employeeAssessment.columns.email,employeeAssessment.columns,Email,E-mail
employeeAssessment.columns.name,employeeAssessment.columns,Name,Nome
employeeAssessment.columns.status,employeeAssessment.columns,Status,Status
employeeAssessment.columns.team,employeeAssessment.columns,Team,Equipe
employeeAssessment.context.employeeCount,employeeAssessment.context,"{{count}} employee{{count, plural, one {} other {s}}} in this assessment","{{count}} funcionário{{count, plural, one {} other {s}}} nesta avaliação"
employeeAssessment.context.filteredByTeam,employeeAssessment.context,Filtered by team,Filtrado por equipe
employeeAssessment.filters.allDepartments,employeeAssessment.filters,All Departments,Todos os Departamentos
employeeAssessment.filters.allTeams,employeeAssessment.filters,All Teams,Todas as Equipes
employeeAssessment.filters.assessmentMatrix,employeeAssessment.filters,Assessment Matrix,Matriz de Avaliação
employeeAssessment.filters.department,employeeAssessment.filters,Department,Departamento
employeeAssessment.filters.performanceCycle,employeeAssessment.filters,Performance Cycle,Ciclo de Performance
employeeAssessment.filters.selectAssessmentMatrix,employeeAssessment.filters,Select Assessment Matrix,Selecionar Matriz de Avaliação
employeeAssessment.filters.selectPerformanceCycle,employeeAssessment.filters,Select Performance Cycle,Selecionar Ciclo de Performance
employeeAssessment.filters.team,employeeAssessment.filters,Team,Equipe
employeeAssessment.filters.title,employeeAssessment.filters,Filters,Filtros
employeeAssessment.form.buttons.create,employeeAssessment.form.buttons,Create,Criar
employeeAssessment.form.buttons.creating,employeeAssessment.form.buttons,Creating...,Criando...
employeeAssessment.form.buttons.update,employeeAssessment.form.buttons,Update Assessment,Atualizar Avaliação
employeeAssessment.form.buttons.updating,employeeAssessment.form.buttons,Updating...,Atualizando...
employeeAssessment.form.error.generic,employeeAssessment.form.error,An error occurred,Ocorreu um erro
employeeAssessment.form.fields.department,employeeAssessment.form.fields,Department,Departamento
employeeAssessment.form.fields.email,employeeAssessment.form.fields,Email,E-mail
employeeAssessment.form.fields.employeeName,employeeAssessment.form.fields,Employee Name,Nome do Funcionário
employeeAssessment.form.fields.team,employeeAssessment.form.fields,Team,Equipe
employeeAssessment.form.placeholders.allDepartments,employeeAssessment.form.placeholders,All Departments,Todos os Departamentos
employeeAssessment.form.placeholders.email,employeeAssessment.form.placeholders,employee@company.com,funcionario@empresa.com
employeeAssessment.form.placeholders.employeeName,employeeAssessment.form.placeholders,Enter employee full name,Digite o nome completo do funcionário
employeeAssessment.form.placeholders.selectTeam,employeeAssessment.form.placeholders,Select Team (Optional),Selecionar Equipe (Opcional)
employeeAssessment.form.sections.departmentTeam,employeeAssessment.form.sections,Department & Team Selection,Seleção de Departamento e Equipe
employeeAssessment.form.sections.employeeInfo,employeeAssessment.form.sections,Employee Information,Informações do Funcionário
employeeAssessment.form.success.employeeAdded,employeeAssessment.form.success,"Employee ""{{name}}"" was successfully added to the assessment!","Funcionário ""{{name}}"" foi adicionado com sucesso à avaliação!"
employeeAssessment.form.validation.emailExists,employeeAssessment.form.validation,"Employee with email ""{{email}}"" already exists in this assessment matrix","Funcionário com e-mail ""{{email}}"" já existe nesta matriz de avaliação"
employeeAssessment.form.validation.emailExistsShort,employeeAssessment.form.validation,This email already exists in the assessment matrix,Este e-mail já existe na matriz de avaliação
employeeAssessment.form.validation.emailRequired,employeeAssessment.form.validation,Employee email is required,E-mail do funcionário é obrigatório
employeeAssessment.form.validation.nameRequired,employeeAssessment.form.validation,Employee name is required,Nome do funcionário é obrigatório
employeeAssessment.invitation.copied,employeeAssessment.invitation,Copied!,Copiado!
employeeAssessment.invitation.copyLink,employeeAssessment.invitation,Copy Invitation Link,Copiar Link do Convite
employeeAssessment.invitation.fullLink,employeeAssessment.invitation,Full Invitation Link:,Link Completo do Convite:
employeeAssessment.invitation.generateInstruction,employeeAssessment.invitation,"Click ""Copy Invitation Link"" to generate secure link","Clique em ""Copiar Link do Convite"" para gerar link seguro"
employeeAssessment.invitation.generating,employeeAssessment.invitation,Generating...,Gerando...
employeeAssessment.invitation.instructions,employeeAssessment.invitation,Employees will enter their email address on this page to access their assessment,Funcionários irão inserir seu endereço de e-mail nesta página para acessar sua avaliação
employeeAssessment.invitation.linkFor,employeeAssessment.invitation,Invitation Link for {{matrixName}},Link do Convite para {{matrixName}}
employeeAssessment.invitation.linkGenerated,employeeAssessment.invitation,Link Generated,Link Gerado
employeeAssessment.invitation.sendToEmployees,employeeAssessment.invitation,Send this link to all employees:,Envie este link para todos os funcionários:
employeeAssessment.invitation.shareInstruction,employeeAssessment.invitation,Share this link with all employees who need to complete the assessment. They will enter their email address to access their specific assessment.,Compartilhe este link com todos os funcionários que precisam completar a avaliação. Eles irão inserir seu endereço de e-mail para acessar sua avaliação específica.
employeeAssessment.invitation.viewFullLink,employeeAssessment.invitation,View full invitation link,Ver link completo do convite
employeeAssessment.messages.selectFilters,employeeAssessment.messages,Please select a Performance Cycle and Assessment Matrix to manage employee assessments.,"Por favor, selecione um Ciclo de Performance e uma Matriz de Avaliação para gerenciar avaliações de funcionários."
employeeAssessment.plural,employeeAssessment,Employee Assessments,Avaliações de Funcionários
employeeAssessment.singular,employeeAssessment,Employee Assessment,Avaliação de Funcionário
employeeAssessment.status.completed,employeeAssessment.status,Completed,Concluído
employeeAssessment.status.confirmed,employeeAssessment.status,Confirmed,Confirmado
employeeAssessment.status.inProgress,employeeAssessment.status,In Progress,Em Andamento
employeeAssessment.status.invited,employeeAssessment.status,Invited,Convidado
employeeAssessment.title,employeeAssessment,Employee Assessments,Avaliações de Funcionários
footer.copyright,footer,All rights reserved,Todos os direitos reservados
footer.version,footer,Version,Versão
genders.FEMALE,genders,Female,Feminino
genders.GENDERQUEER,genders,Genderqueer,Genderqueer
genders.INTERSEX,genders,Intersex,Intersexo
genders.MALE,genders,Male,Masculino
genders.NON_BINARY,genders,Non-Binary,Não-Binário
genders.OTHER,genders,Other,Outro
genders.PREFER_NOT_TO_SAY,genders,Prefer not to say,Prefiro não dizer
genders.TRANSGENDER,genders,Transgender,Transgênero
industries.EDUCATION,industries,Education,Educação
industries.FINANCE,industries,Finance,Finanças
industries.HEALTHCARE,industries,Healthcare,Saúde
industries.MANUFACTURING,industries,Manufacturing,Manufatura
industries.OTHER,industries,Other,Outro
industries.RETAIL,industries,Retail,Varejo
industries.SERVICES,industries,Services,Serviços
industries.TECHNOLOGY,industries,Technology,Tecnologia
language.current,language,English,Português
language.switch,language,Switch language,Mudar idioma
navigation.assessmentMatrices,navigation,Assessment Matrices,Matrizes de Avaliação
navigation.companies,navigation,Companies,Empresas
navigation.dashboard,navigation,Dashboard,Painel
navigation.departments,navigation,Departments,Departamentos
navigation.employeeAssessments,navigation,Employee Assessments,Avaliações de Funcionários
navigation.home,navigation,Home,Início
navigation.performanceCycles,navigation,Performance Cycles,Ciclos de Performance
navigation.questions,navigation,Questions,Perguntas
navigation.settings,navigation,Settings,Configurações
navigation.teams,navigation,Teams,Times
performanceCycle.columns.description,performanceCycle.columns,Description,Descrição
performanceCycle.columns.endDate,performanceCycle.columns,End Date,Data de Término
performanceCycle.columns.name,performanceCycle.columns,Cycle Name,Nome do Ciclo
performanceCycle.columns.startDate,performanceCycle.columns,Start Date,Data de Início
performanceCycle.columns.status,performanceCycle.columns,Status,Status
performanceCycle.columns.type,performanceCycle.columns,Type,Tipo
performanceCycle.errors.deleteFailed,performanceCycle.errors,Failed to delete performance cycle. Please try again.,"Falha ao excluir ciclo de performance. Por favor, tente novamente."
performanceCycle.errors.loadFailed,performanceCycle.errors,Failed to load performance cycles. Please try again.,"Falha ao carregar ciclos de performance. Por favor, tente novamente."
performanceCycle.filters.activeOnly,performanceCycle.filters,Active Only,Apenas Ativos
performanceCycle.filters.allCycles,performanceCycle.filters,All Cycles,Todos os Ciclos
performanceCycle.filters.inactiveOnly,performanceCycle.filters,Inactive Only,Apenas Inativos
performanceCycle.form.buttons.create,performanceCycle.form.buttons,Create,Criar
performanceCycle.form.buttons.creating,performanceCycle.form.buttons,Creating...,Criando...
performanceCycle.form.buttons.update,performanceCycle.form.buttons,Update,Atualizar
performanceCycle.form.buttons.updating,performanceCycle.form.buttons,Updating...,Atualizando...
performanceCycle.form.editTitle,performanceCycle.form,Edit Performance Cycle,Editar Ciclo de Performance
performanceCycle.form.fields.active,performanceCycle.form.fields,Active,Ativo
performanceCycle.form.fields.description,performanceCycle.form.fields,Description,Descrição
performanceCycle.form.fields.endDate,performanceCycle.form.fields,End Date,Data de Término
performanceCycle.form.fields.name,performanceCycle.form.fields,Cycle Name,Nome do Ciclo
performanceCycle.form.fields.startDate,performanceCycle.form.fields,Start Date,Data de Início
performanceCycle.form.fields.status,performanceCycle.form.fields,Status,Status
performanceCycle.form.help.activeHelp,performanceCycle.form.help,Active cycles can be used for assessments,Ciclos ativos podem ser usados para avaliações
performanceCycle.form.help.endDateHelp,performanceCycle.form.help,Leave empty for ongoing cycles,Deixe vazio para ciclos contínuos
performanceCycle.form.help.startDateHelp,performanceCycle.form.help,When this performance cycle begins,Quando este ciclo de performance inicia
performanceCycle.form.help.timeSensitiveInfo,performanceCycle.form.help,This cycle is time-sensitive because an end date is specified.,Este ciclo é sensível ao tempo porque uma data de término foi especificada.
performanceCycle.form.newTitle,performanceCycle.form,New Performance Cycle,Novo Ciclo de Performance
performanceCycle.form.placeholders.description,performanceCycle.form.placeholders,Enter cycle description (optional),Digite a descrição do ciclo (opcional)
performanceCycle.form.placeholders.name,performanceCycle.form.placeholders,"e.g., Q1 2024, Annual Review","ex: Q1 2024, Avaliação Anual"
performanceCycle.form.validation.endDateAfterStart,performanceCycle.form.validation,End date must be after start date,Data de término deve ser posterior à data de início
performanceCycle.form.validation.nameRequired,performanceCycle.form.validation,Cycle name is required,Nome do ciclo é obrigatório
performanceCycle.messages.noCyclesFound,performanceCycle.messages,No performance cycles found,Nenhum ciclo de performance encontrado
performanceCycle.messages.noDescription,performanceCycle.messages,No description,Sem descrição
performanceCycle.plural,performanceCycle,Performance Cycles,Ciclos de Performance
performanceCycle.search.placeholder,performanceCycle.search,Search cycles...,Buscar ciclos...
performanceCycle.singular,performanceCycle,Cycle,Ciclo
performanceCycle.status.active,performanceCycle.status,Active,Ativo
performanceCycle.status.inactive,performanceCycle.status,Inactive,Inativo
performanceCycle.title,performanceCycle,Performance Cycle Management,Gerenciamento de Ciclos de Performance
performanceCycle.types.ongoing,performanceCycle.types,Ongoing,Contínuo
performanceCycle.types.timeSensitive,performanceCycle.types,Time-sensitive,Sensível ao tempo
pronouns.HE,pronouns,He/Him,Ele/Dele
pronouns.HE_HIM,pronouns,He/Him,Ele/Dele
pronouns.OTHER,pronouns,Other,Outro
pronouns.SHE,pronouns,She/Her,Ela/Dela
pronouns.SHE_HER,pronouns,She/Her,Ela/Dela
pronouns.THEY_THEM,pronouns,They/Them,Eles/Deles
question.buttons.addCustom,question.buttons,Add Custom Question,Adicionar Pergunta Personalizada
question.buttons.addOption,question.buttons,Add Option,Adicionar Opção
question.buttons.addStandard,question.buttons,Add Standard Question,Adicionar Pergunta Padrão
question.buttons.create,question.buttons,Create,Criar
question.buttons.createAndClose,question.buttons,Create and Close,Criar e Fechar
question.buttons.hidePoints,question.buttons,Hide Points,Ocultar Pontos
question.buttons.preview,question.buttons,Preview,Visualizar
question.buttons.removeOption,question.buttons,Remove option,Remover opção
question.buttons.saving,question.buttons,Saving...,Salvando...
question.buttons.showPoints,question.buttons,Show Points,Mostrar Pontos
question.buttons.update,question.buttons,Update,Atualizar
question.details.options,question.details,"{{count}} option{{count, plural, one {} other {s}}}","{{count}} opção{{count, plural, one {} other {ões}}}"
question.details.points,question.details,{{points}} points,{{points}} pontos
question.dialogs.deleteMessage,question.dialogs,"Are you sure you want to delete the question ""{{question}}""?","Tem certeza que deseja excluir a pergunta ""{{question}}""?"
question.dialogs.deleteTitle,question.dialogs,Delete Question,Excluir Pergunta
question.filters.allCategories,question.filters,All Categories,Todas as Categorias
question.filters.allPillars,question.filters,All Pillars,Todos os Pilares
question.filters.assessmentMatrix,question.filters,Assessment Matrix,Matriz de Avaliação
question.filters.category,question.filters,Category,Categoria
question.filters.performanceCycle,question.filters,Performance Cycle,Ciclo de Performance
question.filters.pillar,question.filters,Pillar,Pilar
question.filters.selectAssessmentMatrix,question.filters,Select Assessment Matrix,Selecionar Matriz de Avaliação
question.filters.selectPerformanceCycle,question.filters,Select Performance Cycle,Selecionar Ciclo de Performance
question.filters.title,question.filters,Filters,Filtros
question.form.buttons.addOption,question.form.buttons,Add Option,Adicionar Opção
question.form.buttons.create,question.form.buttons,Create,Criar
question.form.buttons.createAndClose,question.form.buttons,Create and Close,Criar e Fechar
question.form.buttons.removeOption,question.form.buttons,Remove option,Remover opção
question.form.buttons.saving,question.form.buttons,Saving...,Salvando...
question.form.buttons.update,question.form.buttons,Update,Atualizar
question.form.createTitle,question.form,Create,Criar
question.form.customType,question.form,Custom Question,Pergunta Personalizada
question.form.editTitle,question.form,Edit,Editar
question.form.fields.allowMultiple,question.form.fields,Allow Multiple Selection,Permitir Seleção Múltipla
question.form.fields.category,question.form.fields,Category,Categoria
question.form.fields.extraDescription,question.form.fields,Extra Description,Descrição Extra
question.form.fields.pillar,question.form.fields,Pillar,Pilar
question.form.fields.points,question.form.fields,Points,Pontos
question.form.fields.questionText,question.form.fields,Question Text,Texto da Pergunta
question.form.fields.questionType,question.form.fields,Question Type,Tipo de Pergunta
question.form.fields.showFlushed,question.form.fields,Show Flushed Layout,Mostrar Layout Alinhado
question.form.help.extraDescription,question.form.help,Use this field to provide additional context or clarification for the question,Use este campo para fornecer contexto adicional ou esclarecimentos para a pergunta
question.form.help.options,question.form.help,Each option must have text and points value. Points determine scoring for this option.,Cada opção deve ter texto e valor de pontos. Os pontos determinam a pontuação para esta opção.
question.form.messages.createSuccess,question.form.messages,"Question ""{{question}}"" created successfully!","Pergunta ""{{question}}"" criada com sucesso!"
question.form.messages.updateSuccess,question.form.messages,"Question ""{{question}}"" updated successfully!","Pergunta ""{{question}}"" atualizada com sucesso!"
question.form.placeholders.extraDescription,question.form.placeholders,Add clarification or context for this question (optional)...,Adicione esclarecimentos ou contexto para esta pergunta (opcional)...
question.form.placeholders.optionPoints,question.form.placeholders,Points*,Pontos*
question.form.placeholders.optionText,question.form.placeholders,Option text,Texto da opção
question.form.placeholders.points,question.form.placeholders,Points for this question,Pontos para esta pergunta
question.form.placeholders.questionText,question.form.placeholders,Enter your question here...,Digite sua pergunta aqui...
question.form.placeholders.selectCategory,question.form.placeholders,Select Category,Selecionar Categoria
question.form.placeholders.selectPillar,question.form.placeholders,Select Pillar,Selecionar Pilar
question.form.sections.customOptions,question.form.sections,Custom Question Options,Opções de Pergunta Personalizada
question.form.standardType,question.form,Standard Question,Pergunta Padrão
question.form.table.action,question.form.table,Action,Ação
question.form.table.number,question.form.table,#,#
question.form.table.optionText,question.form.table,Option Text,Texto da Opção
question.form.table.points,question.form.table,Points,Pontos
question.form.types.customized,question.form.types,Custom Question,Pergunta Personalizada
question.form.types.good_bad,question.form.types,Good/Bad,Bom/Ruim
question.form.types.one_to_ten,question.form.types,1-10 Scale,Escala 1-10
question.form.types.open_answer,question.form.types,Open Answer,Resposta Aberta
question.form.types.star_five,question.form.types,5-Star Rating,Avaliação 5 Estrelas
question.form.types.star_three,question.form.types,3-Star Rating,Avaliação 3 Estrelas
question.form.types.yes_no,question.form.types,Yes/No,Sim/Não
question.form.validation.categoryRequired,question.form.validation,Category is required,Categoria é obrigatória
question.form.validation.missingFields,question.form.validation,Missing required fields,Campos obrigatórios ausentes
question.form.validation.optionTextRequired,question.form.validation,Option text is required,Texto da opção é obrigatório
question.form.validation.optionsMaximum,question.form.validation,Maximum 64 options allowed,Máximo de 64 opções permitidas
question.form.validation.optionsMinimum,question.form.validation,At least 2 options with text are required,Pelo menos 2 opções com texto são obrigatórias
question.form.validation.pillarRequired,question.form.validation,Pillar is required,Pilar é obrigatório
question.form.validation.pointsMinimum,question.form.validation,Points must be 0 or greater,Pontos devem ser 0 ou maior
question.form.validation.pointsRequired,question.form.validation,Points value is required,Valor de pontos é obrigatório
question.form.validation.questionRequired,question.form.validation,Question text is required,Texto da pergunta é obrigatório
question.messages.deleteFailed,question.messages,Failed to delete question. Please try again.,"Falha ao excluir pergunta. Por favor, tente novamente."
question.messages.deleteSuccess,question.messages,"Question ""{{question}}"" deleted successfully!","Pergunta ""{{question}}"" excluída com sucesso!"
question.messages.noQuestions,question.messages,No questions found. Add your first question!,Nenhuma pergunta encontrada. Adicione sua primeira pergunta!
question.messages.selectFilters,question.messages,Please select a Performance Cycle and Assessment Matrix to manage questions,"Por favor, selecione um Ciclo de Performance e uma Matriz de Avaliação para gerenciar perguntas"
question.preview.answers.bad,question.preview.answers,Bad,Ruim
question.preview.answers.good,question.preview.answers,Good,Bom
question.preview.answers.no,question.preview.answers,No,Não
question.preview.answers.yes,question.preview.answers,Yes,Sim
question.preview.buttons.hidePoints,question.preview.buttons,Hide Points,Ocultar Pontos
question.preview.buttons.showPoints,question.preview.buttons,Show Points,Mostrar Pontos
question.preview.context.category,question.preview.context,Category,Categoria
question.preview.context.pillar,question.preview.context,Pillar,Pilar
question.preview.details.multiSelect,question.preview.details,multi-select,seleção múltipla
question.preview.details.notApplicable,question.preview.details,N/A,N/A
question.preview.details.options,question.preview.details,Options,Opções
question.preview.details.optionsCount,question.preview.details,"{{count}} option{{count, plural, one {} other {s}}}","{{count}} opção{{count, plural, one {} other {ões}}}"
question.preview.details.points,question.preview.details,Points,Pontos
question.preview.details.questionId,question.preview.details,Question ID,ID da Pergunta
question.preview.details.type,question.preview.details,Type,Tipo
question.preview.help.pointsVisibility,question.preview.help,Shows point values for each option. This is only visible to administrators for verification purposes. Users will not see these point values.,Mostra valores de pontos para cada opção. Isso é visível apenas para administradores para fins de verificação. Os usuários não verão esses valores de pontos.
question.preview.howItAppears,question.preview,How this question will appear to users:,Como esta pergunta aparecerá para os usuários:
question.preview.placeholders.openAnswer,question.preview.placeholders,Type your answer here...,Digite sua resposta aqui...
question.preview.pointsValue,question.preview,{{points}} points,{{points}} pontos
question.preview.table.option,question.preview.table,Option,Opção
question.preview.table.points,question.preview.table,Points,Pontos
question.preview.technicalDetails,question.preview,Technical Details,Detalhes Técnicos
question.preview.title,question.preview,Question Preview,Visualização da Pergunta
question.preview.types.customized,question.preview.types,Custom Options,Opções Personalizadas
question.preview.types.goodBad,question.preview.types,Good/Bad Choice,Escolha Bom/Ruim
question.preview.types.oneToTen,question.preview.types,1-10 Scale,Escala 1-10
question.preview.types.openAnswer,question.preview.types,Open Text Answer,Resposta de Texto Aberta
question.preview.types.star3,question.preview.types,3-Star Rating,Avaliação 3 Estrelas
question.preview.types.star5,question.preview.types,5-Star Rating,Avaliação 5 Estrelas
question.preview.types.yesNo,question.preview.types,Yes/No Question,Pergunta Sim/Não
question.preview.unknownType,question.preview,Unknown question type,Tipo de pergunta desconhecido
question.stats.questionCount,question.stats,"{{count}} question{{count, plural, one {} other {s}}}","{{count}} pergunta{{count, plural, one {} other {s}}}"
